x	y
-3.08853	-3.49742
-3.1753	-3.60545
-3.51952	-3.46911
-3.85837	-3.12395
-4.0013	-3.30456
-4.06942	-2.8112
-4.10792	-2.71583
-4.20794	-2.71084
-3.99435	-2.86589
-3.45897	-3.53362
-3.50519	-3.77373
-3.28452	-4.17119
-3.12478	-4.15464
-3.84545	-3.9825
-3.52866	-3.78236
-3.00574	-4.40754
-2.59516	-4.5113
-2.24669	-4.40765
-2.01643	-4.4475
-2.15313	-4.59952
-1.84682	-4.37705
-4.33998	-2.62506
-4.60307	-2.36666
-4.52387	-1.87864
-4.62648	-1.84904
-5.02618	-2.02239
-4.65317	-1.64693
-4.7216	-1.20686
-4.78877	-0.824827
-4.94999	-1.38893
-4.40948	-0.785947
-4.29374	-2.11939
-3.82757	-3.28749
-4.61335	-2.23874
-3.14695	-3.77701
-4.79438	-1.29607
-3.55193	-3.54289
-3.44289	-3.73959
-4.27425	-2.88013
-5.28545	-1.09661
-3.03073	-4.13945
-4.90898	-0.487941
-4.96605	-0.22936
-4.70618	-0.616718
-1.51677	-4.69305
-1.63995	-5.16817
-1.45067	-5.21501
-1.12725	-5.17419
-1.16233	-4.91958
-1.06659	-4.43912
-0.774274	-5.51532
-1.24044	-4.61711
-1.21907	-4.59286
-1.29129	-4.69689
-1.3564	-5.05497
-1.41483	-4.93761
-1.06796	-4.6912
-0.628742	-4.8474
-3.49656	-4.03159
-3.39147	-3.43234
-4.80845	0.226649
-4.76423	0.557695
-4.60801	0.914536
-4.60041	1.12803
-4.51931	1.5883
-4.96591	1.55434
-5.00472	1.65996
-4.87465	1.83577
-4.75382	2.14152
-5.02694	1.98939
-5.11409	0.648923
-5.13865	0.917793
-4.83758	1.5585
-4.78051	1.32742
-4.7877	2.26363
-4.46064	1.49277
-4.49113	-1.94275
-4.31925	2.23269
-4.2066	2.67455
-4.59357	2.8412
-4.06363	2.67386
-3.93988	2.86985
-3.65587	3.26259
-3.34486	3.51973
-3.40562	3.7639
-3.54994	3.76941
-3.00975	3.84431
-3.90904	2.98217
-3.80371	3.47074
-4.30086	2.9206
-3.01233	3.8296
-4.46093	2.94415
-4.08259	3.3291
-3.85952	3.27999
-3.45974	3.1139
-3.50663	3.82555
-3.24449	3.24357
-2.84823	4.29986
-2.4458	4.02139
-3.86097	2.93356
-4.81435	2.08738
-4.14067	-2.55744
-4.53661	-1.18049
-4.91813	1.78095
-4.40687	-2.18101
-3.38861	-3.81802
-4.04463	2.42919
-3.97441	-3.44962
-4.2629	3.00677
-5.13149	1.37464
-5.05895	1.39886
-1.12747	-5.12579
-3.34762	-3.02958
-4.97787	0.996447
-4.23899	-2.9346
-5.02088	-0.0979321
-4.90258	1.64433
-2.78127	-3.99074
-1.87327	-4.56227
-4.61752	2.05053
-4.2899	2.07403
-2.142	-4.57894
-4.17489	-2.63815
-3.26477	-3.88084
-3.51424	4.1119
-2.56635	4.06815
-2.27504	-4.73817
-4.90857	0.423774
-3.06753	-4.21329
-1.85817	-4.29655
-0.745713	-4.91541
-0.365244	-4.87786
0.0425752	-5.09895
0.43493	-5.05534
0.622245	-4.95427
0.817579	-5.17313
1.24087	-4.97
1.61125	-5.09364
1.95492	-4.89361
1.95205	-4.87283
1.87337	-4.77134
2.10714	-4.76545
2.15243	-4.81253
1.51796	-4.64007
0.778539	-4.97363
0.53938	-4.60294
0.409122	-4.96094
1.92904	-4.37205
2.01941	-4.15119
0.365236	-5.11357
0.23788	-5.23163
0.0983774	-5.00101
1.15302	-5.0893
1.77005	-4.28183
0.710471	-5.03857
1.28291	-5.02571
1.36245	-4.76942
2.37024	-4.37366
2.5366	-4.36972
2.56312	-4.1369
1.8183	-4.81007
-0.10524	-5.14614
-0.373729	-5.45404
1.85402	-4.42027
2.73517	-3.97004
3.18063	-3.81324
3.20882	-3.77487
3.33941	-3.86399
3.3264	-3.68338
-0.561136	-4.78913
2.10982	-4.70148
2.59233	-4.57643
0.53623	-5.17101
-0.0256775	-5.00792
